minlocs,nestradius,homeradius,n,acc.HR,acc.nest,acc.succ,SIM
600,30,1000,759,0.956 (0.921 - 0.979),0.961 (0.926 - 0.982),0.847 (0.753 - 0.916),1
800,30,1000,697,0.962 (0.926 - 0.983),0.938 (0.896 - 0.966),0.831 (0.729 - 0.907),2
1000,30,1000,619,0.973 (0.938 - 0.991),0.892 (0.839 - 0.933),0.75 (0.63 - 0.847),3
600,40,1000,759,0.947 (0.91 - 0.973),0.912 (0.868 - 0.946),0.871 (0.78 - 0.934),4
800,40,1000,697,0.952 (0.914 - 0.977),0.957 (0.92 - 0.98),0.805 (0.699 - 0.887),5
1000,40,1000,619,0.968 (0.931 - 0.988),0.968 (0.931 - 0.988),0.765 (0.646 - 0.859),6
600,50,1000,759,0.987 (0.962 - 0.997),0.965 (0.932 - 0.985),0.776 (0.673 - 0.86),7
800,50,1000,697,0.957 (0.92 - 0.98),0.919 (0.873 - 0.952),0.766 (0.656 - 0.855),8
1000,50,1000,619,0.957 (0.917 - 0.981),0.957 (0.917 - 0.981),0.868 (0.764 - 0.938),9
600,60,1000,759,0.982 (0.956 - 0.995),0.939 (0.899 - 0.966),0.847 (0.753 - 0.916),10
800,60,1000,697,0.962 (0.926 - 0.983),0.938 (0.896 - 0.966),0.779 (0.67 - 0.866),11
1000,60,1000,619,0.973 (0.938 - 0.991),0.952 (0.91 - 0.978),0.868 (0.764 - 0.938),12
600,70,1000,759,0.969 (0.938 - 0.988),0.965 (0.932 - 0.985),0.788 (0.686 - 0.869),13
800,70,1000,697,0.962 (0.926 - 0.983),0.943 (0.902 - 0.97),0.831 (0.729 - 0.907),14
1000,70,1000,619,0.946 (0.903 - 0.974),0.925 (0.877 - 0.958),0.824 (0.712 - 0.905),15
600,30,1500,759,0.974 (0.944 - 0.99),0.956 (0.921 - 0.979),0.812 (0.712 - 0.888),16
800,30,1500,697,0.976 (0.945 - 0.992),0.938 (0.896 - 0.966),0.792 (0.685 - 0.876),17
1000,30,1500,619,0.952 (0.91 - 0.978),0.957 (0.917 - 0.981),0.824 (0.712 - 0.905),18
600,40,1500,759,0.961 (0.926 - 0.982),0.961 (0.926 - 0.982),0.776 (0.673 - 0.86),19
800,40,1500,697,0.947 (0.908 - 0.973),0.943 (0.902 - 0.97),0.753 (0.642 - 0.844),20
1000,40,1500,619,0.962 (0.924 - 0.985),0.925 (0.877 - 0.958),0.809 (0.695 - 0.894),21
600,50,1500,759,0.978 (0.95 - 0.993),0.939 (0.899 - 0.966),0.812 (0.712 - 0.888),22
800,50,1500,697,0.981 (0.952 - 0.995),0.952 (0.914 - 0.977),0.818 (0.714 - 0.897),23
1000,50,1500,619,0.978 (0.946 - 0.994),0.957 (0.917 - 0.981),0.779 (0.662 - 0.871),24
600,60,1500,759,0.978 (0.95 - 0.993),0.925 (0.883 - 0.956),0.859 (0.766 - 0.925),25
800,60,1500,697,0.952 (0.914 - 0.977),0.947 (0.908 - 0.973),0.714 (0.6 - 0.812),26
1000,60,1500,619,0.968 (0.931 - 0.988),0.952 (0.91 - 0.978),0.735 (0.614 - 0.835),27
600,70,1500,759,0.978 (0.95 - 0.993),0.974 (0.944 - 0.99),0.706 (0.597 - 0.8),28
800,70,1500,697,0.971 (0.939 - 0.989),0.947 (0.908 - 0.973),0.805 (0.699 - 0.887),29
1000,70,1500,619,0.952 (0.91 - 0.978),0.957 (0.917 - 0.981),0.735 (0.614 - 0.835),30
600,30,2000,759,0.974 (0.944 - 0.99),0.939 (0.899 - 0.966),0.776 (0.673 - 0.86),31
800,30,2000,697,0.971 (0.939 - 0.989),0.952 (0.914 - 0.977),0.844 (0.744 - 0.917),32
1000,30,2000,619,0.989 (0.962 - 0.999),0.957 (0.917 - 0.981),0.838 (0.729 - 0.916),33
600,40,2000,759,0.961 (0.926 - 0.982),0.947 (0.91 - 0.973),0.812 (0.712 - 0.888),34
800,40,2000,697,0.947 (0.908 - 0.973),0.923 (0.879 - 0.956),0.753 (0.642 - 0.844),35
1000,40,2000,619,0.946 (0.903 - 0.974),0.925 (0.877 - 0.958),0.882 (0.781 - 0.948),36
600,50,2000,759,0.969 (0.938 - 0.988),0.895 (0.847 - 0.931),0.753 (0.647 - 0.84),37
800,50,2000,697,0.947 (0.908 - 0.973),0.947 (0.908 - 0.973),0.74 (0.628 - 0.834),38
1000,50,2000,619,0.962 (0.924 - 0.985),0.962 (0.924 - 0.985),0.882 (0.781 - 0.948),39
600,60,2000,759,0.961 (0.926 - 0.982),0.939 (0.899 - 0.966),0.765 (0.66 - 0.85),40
800,60,2000,697,0.967 (0.932 - 0.986),0.943 (0.902 - 0.97),0.792 (0.685 - 0.876),41
1000,60,2000,619,0.941 (0.897 - 0.97),0.935 (0.89 - 0.966),0.676 (0.552 - 0.785),42
600,70,2000,759,0.961 (0.926 - 0.982),0.947 (0.91 - 0.973),0.741 (0.635 - 0.83),43
800,70,2000,697,0.967 (0.932 - 0.986),0.947 (0.908 - 0.973),0.818 (0.714 - 0.897),44
1000,70,2000,619,0.957 (0.917 - 0.981),0.952 (0.91 - 0.978),0.838 (0.729 - 0.916),45
600,30,2500,759,0.969 (0.938 - 0.988),0.934 (0.894 - 0.963),0.8 (0.699 - 0.879),46
800,30,2500,697,0.971 (0.939 - 0.989),0.957 (0.92 - 0.98),0.779 (0.67 - 0.866),47
1000,30,2500,619,0.935 (0.89 - 0.966),0.973 (0.938 - 0.991),0.779 (0.662 - 0.871),48
600,40,2500,759,0.965 (0.932 - 0.985),0.952 (0.915 - 0.976),0.776 (0.673 - 0.86),49
800,40,2500,697,0.971 (0.939 - 0.989),0.947 (0.908 - 0.973),0.831 (0.729 - 0.907),50
1000,40,2500,619,0.941 (0.897 - 0.97),0.952 (0.91 - 0.978),0.721 (0.599 - 0.823),51
600,50,2500,759,0.947 (0.91 - 0.973),0.939 (0.899 - 0.966),0.788 (0.686 - 0.869),52
800,50,2500,697,0.943 (0.902 - 0.97),0.933 (0.89 - 0.963),0.714 (0.6 - 0.812),53
1000,50,2500,619,0.962 (0.924 - 0.985),0.941 (0.897 - 0.97),0.779 (0.662 - 0.871),54
600,60,2500,759,0.961 (0.926 - 0.982),0.965 (0.932 - 0.985),0.835 (0.739 - 0.907),55
800,60,2500,697,0.962 (0.926 - 0.983),0.914 (0.867 - 0.948),0.792 (0.685 - 0.876),56
1000,60,2500,619,0.957 (0.917 - 0.981),0.952 (0.91 - 0.978),0.779 (0.662 - 0.871),57
600,70,2500,759,0.961 (0.926 - 0.982),0.908 (0.863 - 0.942),0.776 (0.673 - 0.86),58
800,70,2500,697,0.967 (0.932 - 0.986),0.938 (0.896 - 0.966),0.805 (0.699 - 0.887),59
1000,70,2500,619,0.957 (0.917 - 0.981),0.935 (0.89 - 0.966),0.824 (0.712 - 0.905),60
600,30,3000,759,0.969 (0.938 - 0.988),0.921 (0.878 - 0.953),0.835 (0.739 - 0.907),61
800,30,3000,697,0.962 (0.926 - 0.983),0.947 (0.908 - 0.973),0.831 (0.729 - 0.907),62
1000,30,3000,619,0.962 (0.924 - 0.985),0.935 (0.89 - 0.966),0.824 (0.712 - 0.905),63
600,40,3000,759,0.952 (0.915 - 0.976),0.939 (0.899 - 0.966),0.847 (0.753 - 0.916),64
800,40,3000,697,0.962 (0.926 - 0.983),0.933 (0.89 - 0.963),0.766 (0.656 - 0.855),65
1000,40,3000,619,0.952 (0.91 - 0.978),0.935 (0.89 - 0.966),0.853 (0.746 - 0.927),66
600,50,3000,759,0.969 (0.938 - 0.988),0.934 (0.894 - 0.963),0.847 (0.753 - 0.916),67
800,50,3000,697,0.981 (0.952 - 0.995),0.957 (0.92 - 0.98),0.896 (0.806 - 0.954),68
1000,50,3000,619,0.989 (0.962 - 0.999),0.935 (0.89 - 0.966),0.838 (0.729 - 0.916),69
600,60,3000,759,0.956 (0.921 - 0.979),0.917 (0.873 - 0.949),0.8 (0.699 - 0.879),70
800,60,3000,697,0.957 (0.92 - 0.98),0.928 (0.884 - 0.959),0.792 (0.685 - 0.876),71
1000,60,3000,619,0.957 (0.917 - 0.981),0.957 (0.917 - 0.981),0.794 (0.679 - 0.883),72
600,70,3000,759,0.956 (0.921 - 0.979),0.965 (0.932 - 0.985),0.847 (0.753 - 0.916),73
800,70,3000,697,0.976 (0.945 - 0.992),0.928 (0.884 - 0.959),0.818 (0.714 - 0.897),74
1000,70,3000,619,0.946 (0.903 - 0.974),0.957 (0.917 - 0.981),0.824 (0.712 - 0.905),75
